Date : 2021-04-01 10:15:53
Directory : c:\xampp\htdocs\WebBasedHotelReserve\hotel
Total : 484 files,  27530 codes, 10254 comments, 5269 blanks, all 43053 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\BalanceTest.php                                    | PHP      |         15 |          4 |          4 |         23 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\BalanceTransactionTest.php                         | PHP      |         26 |          4 |          6 |         36 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\BankAccountTest.php                                | PHP      |         84 |          6 |         15 |        105 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\BaseStripeClientTest.php                           | PHP      |        169 |          6 |         31 |        206 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\BillingPortal\SessionTest.php                      | PHP      |         19 |          4 |          5 |         28 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\BitcoinReceiverTest.php                            | PHP      |         54 |          6 |         10 |         70 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\CapabilityTest.php                                 | PHP      |         37 |          4 |         10 |         51 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\CardTest.php                                       | PHP      |         79 |          6 |         15 |        100 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\ChargeTest.php                                     | PHP      |         72 |          4 |         10 |         86 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Checkout\SessionTest.php                           | PHP      |         55 |          4 |          7 |         66 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\CollectionTest.php                                 | PHP      |        288 |          8 |         44 |        340 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\CountrySpecTest.php                                | PHP      |         26 |          4 |          6 |         36 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\CouponTest.php                                     | PHP      |         72 |          4 |         10 |         86 |
